sample-id,forward-absolute-filepath,reverse-absolute-filepath,Don,Replicate,Total_Lobsters,EstimatedBiomass,Lat,Long,site_type,nBlocks
P1546_36_RS062024_8_1_16S_M_S36_L001,/scratch/16S-M/Data/fastp/P1546_36_RS062024_8_1_16S_M_S36_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_36_RS062024_8_1_16S_M_S36_L001_R2_fastp.fastq.gz,1,8_1,1,28.5,24.77395,-80.95152,block,12
P1546_12_RS062024_8_3_16S_M_S12_L001,/scratch/16S-M/Data/fastp/P1546_12_RS062024_8_3_16S_M_S12_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_12_RS062024_8_3_16S_M_S12_L001_R2_fastp.fastq.gz,1,8_3,1,28.5,24.77395,-80.95152,block,12
P1546_29_RS062024_8_2_16S_M_S29_L001,/scratch/16S-M/Data/fastp/P1546_29_RS062024_8_2_16S_M_S29_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_29_RS062024_8_2_16S_M_S29_L001_R2_fastp.fastq.gz,1,8_2,1,28.5,24.77395,-80.95152,block,12
P1546_37_RS062024_9_3_16S_M_S37_L001,/scratch/16S-M/Data/fastp/P1546_37_RS062024_9_3_16S_M_S37_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_37_RS062024_9_3_16S_M_S37_L001_R2_fastp.fastq.gz,2,9_3,25,829.29,24.79243,-80.9515,block,50
P1546_4_RS062024_9_1_16S_M_S4_L001,/scratch/16S-M/Data/fastp/P1546_4_RS062024_9_1_16S_M_S4_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_4_RS062024_9_1_16S_M_S4_L001_R2_fastp.fastq.gz,2,9_1,25,829.29,24.79243,-80.9515,block,50
P1546_34_RS062024_9_2_16S_M_S34_L001,/scratch/16S-M/Data/fastp/P1546_34_RS062024_9_2_16S_M_S34_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_34_RS062024_9_2_16S_M_S34_L001_R2_fastp.fastq.gz,2,9_2,25,829.29,24.79243,-80.9515,block,50
P1546_8_RS062024_11_3_16S_M_S8_L001,/scratch/16S-M/Data/fastp/P1546_8_RS062024_11_3_16S_M_S8_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_8_RS062024_11_3_16S_M_S8_L001_R2_fastp.fastq.gz,5,11_3,27,1144.53,24.75017,-80.99592,block,25
P1546_10_RS062024_11_1_16S_M_S10_L001,/scratch/16S-M/Data/fastp/P1546_10_RS062024_11_1_16S_M_S10_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_10_RS062024_11_1_16S_M_S10_L001_R2_fastp.fastq.gz,5,11_1,27,1144.53,24.75017,-80.99592,block,25
P1546_14_RS062024_11_2_16S_M_S14_L001,/scratch/16S-M/Data/fastp/P1546_14_RS062024_11_2_16S_M_S14_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_14_RS062024_11_2_16S_M_S14_L001_R2_fastp.fastq.gz,5,11_2,27,1144.53,24.75017,-80.99592,block,25
P1546_38_RS062024_10_3_16S_M_S38_L001,/scratch/16S-M/Data/fastp/P1546_38_RS062024_10_3_16S_M_S38_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_38_RS062024_10_3_16S_M_S38_L001_R2_fastp.fastq.gz,7,10_3,10,323.22,24.786,-80.97443,block,23
P1546_25_RS062024_10_2_16S_M_S25_L001,/scratch/16S-M/Data/fastp/P1546_25_RS062024_10_2_16S_M_S25_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_25_RS062024_10_2_16S_M_S25_L001_R2_fastp.fastq.gz,7,10_2,10,323.22,24.786,-80.97443,block,23
P1546_22_RS062024_10_1_16S_M_S22_L001,/scratch/16S-M/Data/fastp/P1546_22_RS062024_10_1_16S_M_S22_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_22_RS062024_10_1_16S_M_S22_L001_R2_fastp.fastq.gz,7,10_1,10,323.22,24.786,-80.97443,block,23
P1546_5_RS062024_3_3_16S_M_S5_L001,/scratch/16S-M/Data/fastp/P1546_5_RS062024_3_3_16S_M_S5_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_5_RS062024_3_3_16S_M_S5_L001_R2_fastp.fastq.gz,8,3_3,3,81.45,24.852,-80.87,block,12
P1546_35_RS062024_3_2_16S_M_S35_L001,/scratch/16S-M/Data/fastp/P1546_35_RS062024_3_2_16S_M_S35_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_35_RS062024_3_2_16S_M_S35_L001_R2_fastp.fastq.gz,8,3_2,3,81.45,24.852,-80.87,block,12
P1546_32_RS062024_3_1_16S_M_S32_L001,/scratch/16S-M/Data/fastp/P1546_32_RS062024_3_1_16S_M_S32_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_32_RS062024_3_1_16S_M_S32_L001_R2_fastp.fastq.gz,8,3_1,3,81.45,24.852,-80.87,block,12
P1546_9_RS062024_4_3_16S_M_S9_L001,/scratch/16S-M/Data/fastp/P1546_9_RS062024_4_3_16S_M_S9_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_9_RS062024_4_3_16S_M_S9_L001_R2_fastp.fastq.gz,10,4_3,14,500.82,24.848,-80.8949,block,50
P1546_6_RS062024_4_2_16S_M_S6_L001,/scratch/16S-M/Data/fastp/P1546_6_RS062024_4_2_16S_M_S6_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_6_RS062024_4_2_16S_M_S6_L001_R2_fastp.fastq.gz,10,4_2,14,500.82,24.848,-80.8949,block,50
P1546_31_RS062024_4_1_16S_M_S31_L001,/scratch/16S-M/Data/fastp/P1546_31_RS062024_4_1_16S_M_S31_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_31_RS062024_4_1_16S_M_S31_L001_R2_fastp.fastq.gz,10,4_1,14,500.82,24.848,-80.8949,block,50
P1546_15_RS062024_6_1_16S_M_S15_L001,/scratch/16S-M/Data/fastp/P1546_15_RS062024_6_1_16S_M_S15_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_15_RS062024_6_1_16S_M_S15_L001_R2_fastp.fastq.gz,11,6_1,10,428,24.845,-80.791,natural,
P1546_23_RS062024_6_2_16S_M_S23_L001,/scratch/16S-M/Data/fastp/P1546_23_RS062024_6_2_16S_M_S23_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_23_RS062024_6_2_16S_M_S23_L001_R2_fastp.fastq.gz,11,6_2,10,428,24.845,-80.791,natural,
P1546_26_RS062024_6_3_16S_M_S26_L001,/scratch/16S-M/Data/fastp/P1546_26_RS062024_6_3_16S_M_S26_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_26_RS062024_6_3_16S_M_S26_L001_R2_fastp.fastq.gz,11,6_3,10,428,24.845,-80.791,natural,
P1546_7_RS062024_5_3_16S_M_S7_L001,/scratch/16S-M/Data/fastp/P1546_7_RS062024_5_3_16S_M_S7_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_7_RS062024_5_3_16S_M_S7_L001_R2_fastp.fastq.gz,14,5_3,23,754.73,24.84145,-80.83285,block,50
P1546_17_RS062024_5_1_16S_M_S17_L001,/scratch/16S-M/Data/fastp/P1546_17_RS062024_5_1_16S_M_S17_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_17_RS062024_5_1_16S_M_S17_L001_R2_fastp.fastq.gz,14,5_1,23,754.73,24.84145,-80.83285,block,50
P1546_3_RS062024_5_2_16S_M_S3_L001,/scratch/16S-M/Data/fastp/P1546_3_RS062024_5_2_16S_M_S3_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_3_RS062024_5_2_16S_M_S3_L001_R2_fastp.fastq.gz,14,5_2,23,754.73,24.84145,-80.83285,block,50
P1546_21_RS062024_7_2_16S_M_S21_L001,/scratch/16S-M/Data/fastp/P1546_21_RS062024_7_2_16S_M_S21_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_21_RS062024_7_2_16S_M_S21_L001_R2_fastp.fastq.gz,17,7_2,8,292.5,24.799,-80.90677,block,18
P1546_18_RS062024_7_1_16S_M_S18_L001,/scratch/16S-M/Data/fastp/P1546_18_RS062024_7_1_16S_M_S18_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_18_RS062024_7_1_16S_M_S18_L001_R2_fastp.fastq.gz,17,7_1,8,292.5,24.799,-80.90677,block,18
P1546_28_RS062024_7_3_16S_M_S28_L001,/scratch/16S-M/Data/fastp/P1546_28_RS062024_7_3_16S_M_S28_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_28_RS062024_7_3_16S_M_S28_L001_R2_fastp.fastq.gz,17,7_3,8,292.5,24.799,-80.90677,block,18
P1546_30_RS062024_2_2_16S_M_S30_L001,/scratch/16S-M/Data/fastp/P1546_30_RS062024_2_2_16S_M_S30_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_30_RS062024_2_2_16S_M_S30_L001_R2_fastp.fastq.gz,20,2_2,28,1427.62,24.69854,-81.49391,natural,
P1546_33_RS062024_2_1_16S_M_S33_L001,/scratch/16S-M/Data/fastp/P1546_33_RS062024_2_1_16S_M_S33_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_33_RS062024_2_1_16S_M_S33_L001_R2_fastp.fastq.gz,20,2_1,28,1286.47,24.69854,-81.49391,natural,
P1546_27_RS062024_2_3_16S_M_S27_L001,/scratch/16S-M/Data/fastp/P1546_27_RS062024_2_3_16S_M_S27_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_27_RS062024_2_3_16S_M_S27_L001_R2_fastp.fastq.gz,20,2_3,28,1286.47,24.69854,-81.49391,natural,
P1546_24_RS062024_1_1_16S_M_S24_L001,/scratch/16S-M/Data/fastp/P1546_24_RS062024_1_1_16S_M_S24_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_24_RS062024_1_1_16S_M_S24_L001_R2_fastp.fastq.gz,21,1_1,32,1427.62,24.69856,-81.49394,natural,
P1546_19_RS062024_1_2_16S_M_S19_L001,/scratch/16S-M/Data/fastp/P1546_19_RS062024_1_2_16S_M_S19_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_19_RS062024_1_2_16S_M_S19_L001_R2_fastp.fastq.gz,21,1_2,32,1427.62,24.69856,-81.49394,natural,
P1546_20_RS062024_1_3_16S_M_S20_L001,/scratch/16S-M/Data/fastp/P1546_20_RS062024_1_3_16S_M_S20_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_20_RS062024_1_3_16S_M_S20_L001_R2_fastp.fastq.gz,21,1_3,32,1427.62,24.69856,-81.49394,natural,
P1546_13_RS062024_12_2_16S_M_S13_L001,/scratch/16S-M/Data/fastp/P1546_13_RS062024_12_2_16S_M_S13_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_13_RS062024_12_2_16S_M_S13_L001_R2_fastp.fastq.gz,4_24,12_2,66,2317.4,24.73822,-81.04939,natural,
P1546_16_RS062024_12_1_16S_M_S16_L001,/scratch/16S-M/Data/fastp/P1546_16_RS062024_12_1_16S_M_S16_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_16_RS062024_12_1_16S_M_S16_L001_R2_fastp.fastq.gz,4_24,12_1,66,2317.4,24.73822,-81.04939,natural,
P1546_11_RS06204_12_3_16S_M_S11_L001,/scratch/16S-M/Data/fastp/P1546_11_RS06204_12_3_16S_M_S11_L001_R1_fastp.fastq.gz,/scratch/16S-M/Data/fastp/P1546_11_RS06204_12_3_16S_M_S11_L001_R2_fastp.fastq.gz,4_24,12_3,66,2317.4,24.73822,-81.04939,natural,